period_date,year,quarter,year_quarter,mx_state,mx_municipality,remittances_musd
2017-01-01,2017,1,2017Q1,Oaxaca,San Juan Mixtepec - Distr. 26 -,0
2017-01-01,2017,1,2017Q1,Oaxaca,San Martin De Los Cansecos,0
2017-01-01,2017,1,2017Q1,Oaxaca,San Pedro Mixtepec - Distr. 22 -,14.788391
2017-01-01,2017,1,2017Q1,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.136551
2017-01-01,2017,1,2017Q1,Oaxaca,Santiago Chazumba,0.36774
2017-01-01,2017,1,2017Q1,Oaxaca,Villa Hidalgo,0.398305
2017-01-01,2017,1,2017Q1,Oaxaca,Zapotitlan Del Rio,0
2017-01-01,2017,1,2017Q1,San Luis Potosi,Ahualulco,1.99128
2017-04-01,2017,2,2017Q2,Chiapas,Cintalapa,2.470892
2017-04-01,2017,2,2017Q2,Chihuahua,Rosario,0
2017-04-01,2017,2,2017Q2,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,40.691341
2017-04-01,2017,2,2017Q2,Guerrero,Apaxtla,0.969729
2017-04-01,2017,2,2017Q2,Oaxaca,Miahuatlan De Porfirio Diaz,15.892161
2017-04-01,2017,2,2017Q2,Oaxaca,San Blas Atempa,0.005011
2017-04-01,2017,2,2017Q2,Oaxaca,San Juan Mixtepec - Distr. 08 -,0.007051
2017-04-01,2017,2,2017Q2,Oaxaca,San Juan Mixtepec - Distr. 26 -,0
2017-04-01,2017,2,2017Q2,Oaxaca,San Martin De Los Cansecos,0
2017-04-01,2017,2,2017Q2,Oaxaca,San Pedro Mixtepec - Distr. 22 -,13.913748
2017-04-01,2017,2,2017Q2,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.125808
2017-04-01,2017,2,2017Q2,Oaxaca,Santiago Chazumba,0.45783
2017-04-01,2017,2,2017Q2,Oaxaca,Villa Hidalgo,0.452482
2017-04-01,2017,2,2017Q2,Oaxaca,Zapotitlan Del Rio,0
2017-04-01,2017,2,2017Q2,San Luis Potosi,Ahualulco,2.470062
2017-07-01,2017,3,2017Q3,Chiapas,Cintalapa,2.820941
2017-07-01,2017,3,2017Q3,Chihuahua,Rosario,0
2017-07-01,2017,3,2017Q3,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,40.646872
