state,municipality,matched_quarters,total_quarters,fully_matched
Jalisco,Atoyac,48,48,TRUE
Jalisco,Autlán de Navarro,48,48,TRUE
Jalisco,Ayotlán,48,48,TRUE
Jalisco,Ayutla,48,48,TRUE
Jalisco,Bolaños,48,48,TRUE
Jalisco,Cabo Corrientes,48,48,TRUE
Jalisco,Casimiro Castillo,48,48,TRUE
Jalisco,Cañadas de Obregón,48,48,TRUE
Jalisco,Chapala,48,48,TRUE
Jalisco,Chimaltitán,48,48,TRUE
Jalisco,Chiquilistlán,48,48,TRUE
Jalisco,Cihuatlán,48,48,TRUE
Jalisco,Cocula,48,48,TRUE
Jalisco,Colotlán,48,48,TRUE
Jalisco,Concepción de Buenos Aires,48,48,TRUE
Jalisco,Cuautitlán de García Barragán,48,48,TRUE
Jalisco,Cuautla,48,48,TRUE
Jalisco,Cuquío,48,48,TRUE
Jalisco,Degollado,48,48,TRUE
Jalisco,Ejutla,48,48,TRUE
Jalisco,El Arenal,48,48,TRUE
Jalisco,El Grullo,48,48,TRUE
Jalisco,El Limón,48,48,TRUE
Jalisco,El Salto,48,48,TRUE
Jalisco,Encarnación de Díaz,48,48,TRUE
Jalisco,Etzatlán,48,48,TRUE
Jalisco,Guachinango,48,48,TRUE
Jalisco,Guadalajara,48,48,TRUE
Jalisco,Gómez Farías,48,48,TRUE
Jalisco,Hostotipaquillo,48,48,TRUE
Jalisco,Huejuquilla el Alto,48,48,TRUE
Jalisco,Huejúcar,48,48,TRUE
Jalisco,Ixtlahuacán de los Membrillos,48,48,TRUE
Jalisco,Ixtlahuacán del Río,48,48,TRUE
Jalisco,Jalostotitlán,48,48,TRUE
Jalisco,Jamay,48,48,TRUE
Jalisco,Jesús María,48,48,TRUE
Jalisco,Jilotlán de los Dolores,48,48,TRUE
Jalisco,Jocotepec,48,48,TRUE
Jalisco,Juanacatlán,48,48,TRUE
